symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GABRB3	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8625799999999998	No data	-0.7534473248758963	-0.9013201084125905	0	-1	No data	-0.4714600000000001	0.5	0
PDE3A	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.1893099999999997	No data	-0.34583563154991726	0	0	-1	No data	0	0.5	0
GABRD	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6017699999999998	No data	-0.3085493656922228	-0.6916985181451942	0	No data	No data	0	1	0.5
EPOR	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.08464499999999972	No data	-0.3055708769994484	-0.9543665341891185	0	No data	No data	0	-1	-1
CA12	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.09604500000000016	0	-0.00011031439602871007	-0.022023425318627998	0	No data	No data	0	0.5	0
PDE10A	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0	1	-0.7643684500827358	-0.33588290347662475	0	-1	No data	0	1	0
CA1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	0.8478764478764478	-0.2024466188616067	0	No data	No data	0	0.75	0
GABRA6	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5695349999999998	No data	0.3678985107556536	No data	0	-1	No data	-0.28808000000000006	1	1
GABRQ	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	No data	No data	0	No data	No data	0	0.75	0.5
GABRB2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6191400000000001	No data	-0.7652509652509653	-0.2859359608929937	0	No data	No data	-0.33105499999999993	1	0.5
CSF2	0.05987697529153787	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.4164740388491576	No data	No data	0.75	0	1	0	0	0	0	No data	-0.5455046883618312	-0.907630548211091	0	No data	No data	No data	0.5	1
TNFSF13	0.05879672837065226	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.3885915806320071	No data	No data	0.75	0	1	0	0	0	0	No data	-0.2006618863761721	0	0	No data	No data	0	0.5	-1
THRA	0.05261379875719713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08654570382665439	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9634149999999998	No data	-0.7526751241036955	-0.968347355922401	0	-1	No data	-0.26219499999999984	1	-1
THRB	0.05261379875719713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08654570382665439	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.08893500000000003	0	-0.7619415333701048	-0.8813494094413554	0	No data	No data	-0.06724499999999996	-1	0
LTA	0.050787889588403266	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.3417197597532234	No data	No data	0.5	0	1	0	1	0	0	No data	-0.3494760066188638	-0.9316131187576032	0	-1	No data	0	0.75	0.5
ADRB2	0.050745020776772364	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.1496071249902315	No data	No data	1	1	0	1	1	1	0.4067799999999998	1	-0.11759514616657474	-0.885171527444237	0	-1	No data	0	-1	0
RTN4	0.0503801582519362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.13760370202598615	No data	No data	0.5	0	0	0	0	0	0	No data	-0.6350799779371208	-0.16840601274630995	0	No data	No data	0	-1	-1
INSR	0.04684424658128595	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	1	1	0	1	1	1	0.7250349999999998	1	-0.6252619966905681	-0.9211979829372365	0	-1	No data	0	-1	-1
HTR2A	0.04656706169027242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.5753700000000002	1	-0.529288472145615	-0.17435141675146093	0	-1	No data	0	1	0.5
ITGA2	0.04656706169027242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	0.5	0	0	1	1	0	0.11515500000000004	No data	-0.3023717595146167	-0.21727870166963925	0	No data	No data	0	-1	0
ADRA2A	0.04619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6236550000000001	0	0.8382790954219526	-0.7859962956693595	0	-1	No data	0	0.5	0
ADRA2C	0.04619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5995649999999998	0	0.258246001103144	-0.05373224667943238	0	-1	No data	0	0.5	0
C1S	0.045727807436925914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.2885138243665151	No data	No data	1	0	1	1	1	0	0	No data	-0.3128516271373414	No data	0	No data	No data	0	1	-1
VEGFA	0.045368210476469766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.2766836304737595	No data	No data	1	0	1	1	1	0	0.18987499999999996	No data	-0.5552123552123552	-0.9928422036515041	0	-1	No data	0	-1	-1
SEMA4D	0.04275182337487292	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.1906084682389837	No data	No data	0.5	1	0	0	0	1	0.27494000000000013	No data	-0.7365692222835081	-0.5780665632812251	0	No data	No data	0	0.5	-1
PPARA	0.04187352311993295	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.16171372369271153	No data	No data	1	0	0	1	1	1	0.6153849999999998	1	-0.4211803640375069	-0.9588129773401152	0	-1	No data	0	0.5	-1
IL1R1	0.04025408260194213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.10843659003364631	No data	No data	1	1	1	1	1	0	0	No data	-0.5330391616105902	-0.9171723389502475	0	No data	No data	0	-1	-1
F11	0.038066725032524285	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	1	0	1	1	1	0	0	0	0.30711527854385	-0.21797747014036806	0	-1	No data	0	1	0.5
LTB	0.0380205275506887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	0.5	0	0	0	0	0	0	No data	0.8367346938775511	-0.8498768319624711	0	-1	No data	0	0.75	0
RRM2	0.03788193510518194	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	1	0	0.575835	No data	-0.8932156646442361	0	-1	No data	No data	-0.27378	0.75	0
FGFR2	0.037327565323154885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	1	1	1	1	0.8781950000000002	1	-0.9032542746828461	-0.9837676382762558	0	No data	-1	-0.2874549999999999	1	0
KLKB1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	1	0	0	No data	0.010259238830667483	-0.5122418035566692	0	No data	No data	0	1	0
IMPA1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	1	0.31407999999999986	No data	0.7047986762272476	-0.832592970581453	0	No data	No data	0	-1	-1
F12	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	1	0	0	No data	0.49619415333701045	-0.2024466188616067	0	No data	No data	0	1	0.5
GSK3A	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7411999999999999	1	-0.7692222835079978	-0.7924696300273645	0	-1	No data	-0.19772250000000008	-1	-1
RRM1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	1	0.88005	No data	-0.9288472145615003	-0.5716429955725768	-1	-1	No data	No data	-1	-1
