feature	GeneSymbol	hgnc_id	chr	start	end
ENSG00000205090	TMEM240	25186.0	1	1470554	1475833
ENSG00000160075	SSU72	25016.0	1	1477053	1510249
ENSG00000228594	C1orf233	42951.0	1	1533392	1535476
ENSG00000197530	MIB2	30577.0	1	1550795	1565990
ENSG00000189409	MMP23B	7171.0	1	1567474	1570639
ENSG00000248333	CDK11B	1729.0	1	1570603	1590473
ENSG00000189339	SLC35E2B	33941.0	1	1592939	1624167
ENSG00000008128	CDK11A	1730.0	1	1634169	1655766
ENSG00000215790	SLC35E2	20863.0	1	1656277	1677431
ENSG00000008130	NADK	29831.0	1	1682671	1711896
ENSG00000078369	GNB1	4396.0	1	1716729	1822495
ENSG00000169885	CALML6	24193.0	1	1846266	1848735
ENSG00000178821	TMEM52	27916.0	1	1849029	1850712
ENSG00000142609	C1orf222	27917.0	1	1853396	1935276
ENSG00000187730	GABRD	4084.0	1	1950780	1962192
ENSG00000067606	PRKCZ	9412.0	1	1981909	2116834
ENSG00000162585	C1orf86	26428.0	1	2115903	2144159
ENSG00000157933	SKI	10896.0	1	2160134	2241558
ENSG00000116151	MORN1	25852.0	1	2252692	2323146
ENSG00000157916	RER1	30309.0	1	2323267	2336883
ENSG00000157911	PEX10	8851.0	1	2336236	2345236
ENSG00000149527	PLCH2	29037.0	1	2357419	2436969
ENSG00000157881	PANK4	19366.0	1	2439972	2458039
ENSG00000197921	HES5	19764.0	1	2460184	2461684
ENSG00000157873	TNFRSF14	11912.0	1	2487078	2496821
ENSG00000157870	FAM213B	28390.0	1	2517930	2522908
ENSG00000142606	MMEL1	14668.0	1	2522078	2564481
ENSG00000215912	TTC34	34297.0	1	2567415	2718286
ENSG00000169717	ACTRT2	24026.0	1	2938046	2939465
ENSG00000177133	LINC00982	48664.0	1	2976179	2985001
ENSG00000142611	PRDM16	14000.0	1	2985732	3355185
ENSG00000130762	ARHGEF16	15515.0	1	3370990	3397677
ENSG00000162591	MEGF6	3232.0	1	3406484	3528059
ENSG00000158109	TPRG1L	27007.0	1	3541566	3546691
ENSG00000116213	WRAP73	12759.0	1	3547331	3569325
ENSG00000078900	TP73	12003.0	1	3569084	3652765
ENSG00000227372	TP73-AS1	29052.0	1	3652548	3663900
ENSG00000162592	CCDC27	26546.0	1	3668962	3688209
ENSG00000235169	SMIM1	44204.0	1	3689352	3692546
ENSG00000130764	LRRC47	29207.0	1	3696784	3713068
ENSG00000116198	CEP104	24866.0	1	3728645	3773778
ENSG00000169598	DFFB	2773.0	1	3773845	3801993
ENSG00000198912	C1orf174	27915.0	1	3805689	3816857
ENSG00000236423	LINC01134	49449.0	1	3816936	3833789
ENSG00000196581	AJAP1	30801.0	1	4714792	4852594
ENSG00000131697	NPHP4	19104.0	1	5922871	6052533
ENSG00000069424	KCNAB2	6229.0	1	6051526	6161253
ENSG00000116254	CHD5	16816.0	1	6161853	6240183
ENSG00000116251	RPL22	10315.0	1	6241329	6269449
ENSG00000158286	RNF207	32947.0	1	6265535	6281359
ENSG00000116237	ICMT	5350.0	1	6281253	6296032
ENSG00000225077	LINC00337	28620.0	1	6296300	6299504
ENSG00000173673	HES3	26226.0	1	6304252	6305638
ENSG00000158292	GPR153	23618.0	1	6307406	6321035
ENSG00000097021	ACOT7	24157.0	1	6324329	6454451
ENSG00000069812	HES2	16005.0	1	6472478	6484730
ENSG00000187017	ESPN	13281.0	1	6484848	6521430
ENSG00000215788	TNFRSF25	11910.0	1	6521211	6526255
ENSG00000171680	PLEKHG5	29105.0	1	6526152	6580121
ENSG00000162408	NOL9	26265.0	1	6581407	6614595
ENSG00000173662	TAS1R1	14448.0	1	6615241	6639817
ENSG00000204859	ZBTB48	4930.0	1	6640061	6649340
ENSG00000162413	KLHL21	29041.0	1	6650784	6674667
ENSG00000116273	PHF13	22983.0	1	6673745	6684093
ENSG00000041988	THAP3	20855.0	1	6684926	6695646
ENSG00000007923	DNAJC11	25570.0	1	6694228	6761984
ENSG00000171735	CAMTA1	18806.0	1	6845384	7829766
ENSG00000049245	VAMP3	12644.0	1	7831329	7841492
ENSG00000049246	PER3	8847.0	1	7844380	7905237
ENSG00000049247	UTS2	12636.0	1	7903143	7913572
ENSG00000049249	TNFRSF9	11924.0	1	7979907	8000926
ENSG00000116288	PARK7	16369.0	1	8014351	8045565
ENSG00000116285	ERRFI1	18185.0	1	8064464	8086368
ENSG00000162426	SLC45A1	17939.0	1	8377886	8404227
ENSG00000142599	RERE	9965.0	1	8412457	8877702
ENSG00000074800	ENO1	3350.0	1	8921061	8939308
ENSG00000230679	ENO1-AS1	40214.0	1	8938894	8939953
ENSG00000131686	CA6	1380.0	1	9005926	9035151
ENSG00000197241	SLC2A7	13445.0	1	9063359	9086404
ENSG00000142583	SLC2A5	11010.0	1	9095166	9148537
ENSG00000180758	GPR157	23687.0	1	9160364	9189229
ENSG00000049239	H6PD	4795.0	1	9294834	9331396
ENSG00000171621	SPSB1	30628.0	1	9352939	9429591
ENSG00000171612	SLC25A33	29681.0	1	9599541	9645237
ENSG00000188807	TMEM201	33719.0	1	9648932	9674935
ENSG00000171608	PIK3CD	8977.0	1	9711790	9789172
ENSG00000179840	C1orf200	32346.0	1	9712668	9714644
ENSG00000171603	CLSTN1	17447.0	1	9789084	9884584
ENSG00000178585	CTNNBIP1	16913.0	1	9908334	9970394
ENSG00000162441	LZIC	17497.0	1	9982173	10003465
ENSG00000173614	NMNAT1	17877.0	1	10003486	10045559
ENSG00000162444	RBP7	30316.0	1	10057264	10076078
ENSG00000130939	UBE4B	12500.0	1	10092890	10241297
ENSG00000054523	KIF1B	16636.0	1	10270863	10441661
ENSG00000142657	PGD	8891.0	1	10458649	10480201
ENSG00000241563	CORT	2257.0	1	10509776	10511959
ENSG00000160049	DFFA	2772.0	1	10516579	10532583
ENSG00000142655	PEX14	8856.0	1	10532345	10690815
ENSG00000130940	CASZ1	26002.0	1	10696661	10856707
ENSG00000175262	C1orf127	26730.0	1	11006528	11042094
ENSG00000120948	TARDBP	11571.0	1	11072414	11085796
ENSG00000009724	MASP2	6902.0	1	11086580	11107290
ENSG00000116649	SRM	11296.0	1	11114641	11120081
ENSG00000171824	EXOSC10	9138.0	1	11126675	11159938
ENSG00000198793	MTOR	3942.0	1	11166592	11322564
ENSG00000225602	MTOR-AS1	40242.0	1	11203955	11209594
ENSG00000171819	ANGPTL7	24078.0	1	11249398	11256038
ENSG00000120942	UBIAD1	30791.0	1	11333263	11356106
ENSG00000204624	PTCHD2	29251.0	1	11539223	11597641
ENSG00000116661	FBXO2	13581.0	1	11708424	11715842
ENSG00000132879	FBXO44	24847.0	1	11714432	11723384
ENSG00000116663	FBXO6	13585.0	1	11724181	11734411
ENSG00000116670	MAD2L2	6764.0	1	11734537	11751707
ENSG00000162490	DRAXIN	25054.0	1	11751786	11785914
ENSG00000177674	AGTRAP	13539.0	1	11796141	11814859
ENSG00000215910	C1orf167	25262.0	1	11821844	11849642
ENSG00000177000	MTHFR	7436.0	1	11845780	11866977
ENSG00000011021	CLCN6	2024.0	1	11866207	11903201
ENSG00000242349	NPPA-AS1	37635.0	1	11901074	11908136
ENSG00000175206	NPPA	7939.0	1	11905766	11908402
ENSG00000120937	NPPB	7940.0	1	11917521	11918988
ENSG00000116685	KIAA2013	28513.0	1	11979648	11986485
ENSG00000083444	PLOD1	9081.0	1	11994262	12035595
ENSG00000116688	MFN2	16877.0	1	12040238	12073571
ENSG00000116691	MIIP	25715.0	1	12079523	12092102
ENSG00000120949	TNFRSF8	11923.0	1	12123434	12204264
ENSG00000028137	TNFRSF1B	11917.0	1	12227060	12269285
ENSG00000048707	VPS13D	23595.0	1	12290124	12572099
ENSG00000162496	DHRS3	17693.0	1	12627939	12677737
ENSG00000204518	AADACL4	32038.0	1	12704566	12727097
ENSG00000188984	AADACL3	32037.0	1	12776118	12788726
ENSG00000157330	C1orf158	28567.0	1	12806163	12823847
ENSG00000116726	PRAMEF12	22125.0	1	12834984	12838049
ENSG00000116721	PRAMEF1	28840.0	1	12851546	12856777
ENSG00000204513	PRAMEF11	14086.0	1	12884468	12891264
ENSG00000179172	HNRNPCL1	29295.0	1	12907261	12908578
ENSG00000120952	PRAMEF2	28841.0	1	12916941	12921764
ENSG00000243073	PRAMEF4	31971.0	1	12939045	12946025
ENSG00000187545	PRAMEF10	27997.0	1	12952727	12958101
ENSG00000204510	PRAMEF7	28415.0	1	12976450	12980569
ENSG00000232423	PRAMEF6	30583.0	1	12998181	13117751
ENSG00000204508	PRAMEF22	34393.0	1	13035543	13038381
ENSG00000229571	PRAMEF26	49178.0	1	13216356	13219581
ENSG00000204503	PRAMEF3	14087.0	1	13328196	13331692
ENSG00000204502	PRAMEF5	27995.0	1	13359819	13369057
ENSG00000182330	PRAMEF8	24074.0	1	13386646	13390765
ENSG00000204501	PRAMEF9	27996.0	1	13421176	13428191
ENSG00000204495	PRAMEF13	13262.0	1	13447414	13452656
ENSG00000204491	PRAMEF18	30693.0	1	13474689	13477522
ENSG00000204488	PRAMEF16	25767.0	1	13495254	13498260
ENSG00000204486	PRAMEF21	22405.0	1	13516066	13526943
ENSG00000157358	PRAMEF15	26764.0	1	13641973	13648988
ENSG00000204481	PRAMEF14	13576.0	1	13668269	13673511
ENSG00000204480	PRAMEF19	24908.0	1	13694889	13698405
ENSG00000204479	PRAMEF17	29485.0	1	13716092	13719089
ENSG00000204478	PRAMEF20	25224.0	1	13736907	13747803
ENSG00000162494	LRRC38	27005.0	1	13801445	13840543
ENSG00000162493	PDPN	29602.0	1	13909960	13944452
ENSG00000116731	PRDM2	9347.0	1	14026693	14151574
ENSG00000189337	KAZN	29173.0	1	14925200	15444539
ENSG00000171729	TMEM51	25488.0	1	15479028	15546976
ENSG00000204464	C1orf195	32332.0	1	15490840	15497813
ENSG00000142621	FHAD1	29408.0	1	15573768	15726779
ENSG00000142634	EFHD2	28670.0	1	15736391	15756839
ENSG00000162438	CTRC	2523.0	1	15764935	15775737
ENSG00000142615	CELA2A	24609.0	1	15783223	15798586
ENSG00000215704	CELA2B	29995.0	1	15792404	15817895
ENSG00000132906	CASP9	1511.0	1	15817327	15853029
ENSG00000116138	DNAJC16	29157.0	1	15853308	15918874
ENSG00000116771	AGMAT	18407.0	1	15898848	15911605
ENSG00000197312	DDI2	24578.0	1	15943995	15995539
ENSG00000215695	RSC1A1	10458.0	1	15986364	15988217
ENSG00000116786	PLEKHM2	29131.0	1	16010827	16061264
ENSG00000162461	SLC25A34	27653.0	1	16062900	16067891
ENSG00000162460	TMEM82	32350.0	1	16068917	16074477
ENSG00000162458	FBLIM1	24686.0	1	16083102	16113089
ENSG00000065526	SPEN	17575.0	1	16174359	16266955
ENSG00000116809	ZBTB17	12936.0	1	16268364	16302627
ENSG00000183888	C1orf64	28339.0	1	16330731	16335302
ENSG00000173641	HSPB7	5249.0	1	16340523	16346089
ENSG00000186510	CLCNKA	2026.0	1	16345370	16360545
ENSG00000184908	CLCNKB	2027.0	1	16370272	16383803
ENSG00000185519	FAM131C	26717.0	1	16384264	16400127
ENSG00000142627	EPHA2	3386.0	1	16450832	16482582
ENSG00000234166	ARHGEF19-AS1	39996.0	1	16524349	16524852
ENSG00000142632	ARHGEF19	26604.0	1	16524349	16539104
ENSG00000204377	C1orf134	32021.0	1	16555368	16556038
ENSG00000132881	RSG1	28127.0	1	16558195	16563657
ENSG00000037637	FBXO42	29249.0	1	16573334	16678949
ENSG00000055070	SZRD1	30232.0	1	16679070	16724640
ENSG00000187144	SPATA21	28026.0	1	16713612	16763919
ENSG00000157191	NECAP2	25528.0	1	16767167	16786573
ENSG00000268674	FAM231B	49506.0	1	16865561	16866070
ENSG00000219481	NBPF1	26088.0	1	16888814	16940057
ENSG00000215908	CROCCP2	28170.0	1	16944751	16971178
ENSG00000237847	FAM231A	49427.0	1	16999498	17000007
ENSG00000268991	FAM231C	49508.0	1	17060447	17060956
ENSG00000058453	CROCC	21299.0	1	17066768	17299474
ENSG00000117122	MFAP2	7033.0	1	17300997	17307330
ENSG00000159363	ATP13A2	30213.0	1	17312453	17338423
ENSG00000117118	SDHB	10681.0	1	17345217	17380665
ENSG00000117115	PADI2	18341.0	1	17393256	17445948
ENSG00000142623	PADI1	18367.0	1	17531621	17572500
ENSG00000142619	PADI3	18337.0	1	17575593	17610728
ENSG00000159339	PADI4	18368.0	1	17634690	17690499
ENSG00000179051	RCC2	30297.0	1	17733256	17766220
ENSG00000074964	ARHGEF10L	25540.0	1	17866330	18024369
ENSG00000117148	ACTL8	24018.0	1	18081808	18153558
ENSG00000117154	IGSF21	28246.0	1	18434240	18704977
ENSG00000179023	KLHDC7A	26791.0	1	18807424	18812478
ENSG00000009709	PAX7	8621.0	1	18957500	19075360
ENSG00000179002	TAS1R2	14905.0	1	19166093	19186176
ENSG00000159423	ALDH4A1	406.0	1	19197926	19229275
ENSG00000169991	IFFO2	27006.0	1	19230775	19283180
ENSG00000127481	UBR4	30313.0	1	19401000	19536770
ENSG00000127463	EMC1	28957.0	1	19542158	19578046
ENSG00000053372	MRTO4	18477.0	1	19578033	19586622
ENSG00000162482	AKR7A3	390.0	1	19609052	19615744
ENSG00000053371	AKR7A2	389.0	1	19630459	19638640
ENSG00000040487	PQLC2	26001.0	1	19638820	19655794
ENSG00000077549	CAPZB	1491.0	1	19665267	19812066
ENSG00000270136	MINOS1-NBL1	48338.0	1	19923473	19984549
ENSG00000173436	MINOS1	32068.0	1	19923477	19956314
ENSG00000158747	NBL1	7650.0	1	19967048	19984945
ENSG00000158748	HTR6	5301.0	1	19991780	20006055
ENSG00000162542	TMCO4	27393.0	1	20008706	20126438
ENSG00000178828	RNF186	25978.0	1	20140523	20141771
ENSG00000169914	OTUD3	29038.0	1	20209006	20239438
ENSG00000188784	PLA2G2E	13414.0	1	20246502	20250110
ENSG00000188257	PLA2G2A	9031.0	1	20301925	20306932
ENSG00000127472	PLA2G5	9038.0	1	20354672	20417683
ENSG00000117215	PLA2G2D	9033.0	1	20438432	20446050
ENSG00000158786	PLA2G2F	30040.0	1	20465819	20476879
ENSG00000187980	PLA2G2C	9032.0	1	20487746	20503917
ENSG00000225986	UBXN10-AS1	41141.0	1	20510735	20512979
ENSG00000162543	UBXN10	26354.0	1	20512578	20522541
ENSG00000158816	VWA5B1	26538.0	1	20617412	20681387
ENSG00000236963	LINC01141	49455.0	1	20687072	20757727
ENSG00000162545	CAMK2N1	24190.0	1	20808884	20812713
ENSG00000090432	MUL1	25762.0	1	20825943	20834654
ENSG00000183114	FAM43B	31791.0	1	20878932	20881512
ENSG00000158825	CDA	1712.0	1	20915441	20945401
ENSG00000158828	PINK1	14581.0	1	20959948	20978004
ENSG00000117242	PINK1-AS	38872.0	1	20969150	20978686
ENSG00000244038	DDOST	2728.0	1	20978270	20988000
ENSG00000117245	KIF17	19167.0	1	20990507	21044510
ENSG00000189410	SH2D5	28819.0	1	21046225	21059330
ENSG00000127483	HP1BP3	24973.0	1	21069154	21113816
ENSG00000075151	EIF4G3	3298.0	1	21132963	21503377
ENSG00000117298	ECE1	3146.0	1	21543740	21671997
ENSG00000142794	NBPF3	25076.0	1	21766621	21811498
ENSG00000162551	ALPL	438.0	1	21835858	21904905
ENSG00000076864	RAP1GAP	9858.0	1	21922708	21995801
ENSG00000090686	USP48	18533.0	1	22004791	22110099
ENSG00000187942	LDLRAD2	32071.0	1	22138758	22151714
ENSG00000142798	HSPG2	5273.0	1	22148738	22263790
ENSG00000219073	CELA3B	15945.0	1	22303514	22325135
ENSG00000142789	CELA3A	15944.0	1	22328149	22339032
ENSG00000218510	LINC00339	25011.0	1	22351681	22357716
ENSG00000070831	CDC42	1736.0	1	22379120	22419437
ENSG00000162552	WNT4	12783.0	1	22443798	22470462
ENSG00000184677	ZBTB40	29045.0	1	22778344	22857650
ENSG00000070886	EPHA8	3391.0	1	22890057	22930087
ENSG00000173372	C1QA	1241.0	1	22962999	22966101
ENSG00000159189	C1QC	1245.0	1	22970123	22974603
ENSG00000173369	C1QB	1242.0	1	22979255	22988031
ENSG00000133216	EPHB2	3393.0	1	23037332	23241818
ENSG00000215906	LACTBL1	35445.0	1	23279536	23291831
ENSG00000227868	C1orf234	44651.0	1	23337327	23342343
ENSG00000004487	KDM1A	29079.0	1	23345941	23410182
ENSG00000169641	LUZP1	14985.0	1	23410516	23504301
ENSG00000179546	HTR1D	5289.0	1	23516993	23521222
ENSG00000125944	HNRNPR	5047.0	1	23630264	23670829
ENSG00000125945	ZNF436	20814.0	1	23685941	23695935
ENSG00000249087	C1orf213	25122.0	1	23695490	23698332
ENSG00000204219	TCEA3	11615.0	1	23707554	23751233
ENSG00000088280	ASAP3	14987.0	1	23755056	23811061
ENSG00000007968	E2F2	3114.0	1	23832922	23857712
ENSG00000117318	ID3	5362.0	1	23884409	23886285
ENSG00000197880	MDS2	29633.0	1	23907985	23967058
ENSG00000142676	RPL11	10301.0	1	24018269	24022915
ENSG00000011007	TCEB3	11620.0	1	24069645	24088549
ENSG00000057757	PITHD1	25022.0	1	24104895	24114722
ENSG00000011009	LYPLA2	6738.0	1	24117460	24122029
ENSG00000117308	GALE	4116.0	1	24122089	24127271
ENSG00000117305	HMGCL	5005.0	1	24128375	24165110
ENSG00000179163	FUCA1	4006.0	1	24171567	24194784
ENSG00000188822	CNR2	2160.0	1	24197016	24285549
ENSG00000189266	PNRC2	23158.0	1	24285599	24289952
ENSG00000188529	SRSF10	16713.0	1	24291294	24307417
ENSG00000142661	MYOM3	26679.0	1	24382525	24438665
ENSG00000142677	IL22RA1	13700.0	1	24446261	24469611
ENSG00000185436	IFNLR1	18584.0	1	24480647	24514449
ENSG00000158055	GRHL3	25839.0	1	24645812	24690972
ENSG00000001460	STPG1	28070.0	1	24683489	24743424
ENSG00000001461	NIPAL3	25233.0	1	24742284	24799466
ENSG00000117602	RCAN3	3042.0	1	24829387	24867530
ENSG00000184454	NCMAP	29332.0	1	24882602	24935819
ENSG00000133226	SRRM1	16638.0	1	24958207	24999758
ENSG00000169504	CLIC4	13518.0	1	25071848	25170815
ENSG00000020633	RUNX3	10473.0	1	25226002	25291612
ENSG00000117614	SYF2	19824.0	1	25549170	25558993
ENSG00000117616	C1orf63	25234.0	1	25568728	25664704
ENSG00000187010	RHD	10009.0	1	25598884	25656936
ENSG00000183726	TMEM50A	30590.0	1	25664408	25688852
ENSG00000188672	RHCE	10008.0	1	25688740	25756683
ENSG00000204178	TMEM57	25572.0	1	25757388	25826700
ENSG00000157978	LDLRAP1	18640.0	1	25870071	25895377
ENSG00000117643	MAN1C1	19080.0	1	25943959	26112698
ENSG00000162430	SEPN1	15999.0	1	26126667	26144713
ENSG00000117640	MTFR1L	28836.0	1	26145131	26159432
ENSG00000127423	AUNIP	28363.0	1	26158414	26185903
ENSG00000182749	PAQR7	23146.0	1	26187701	26197744
ENSG00000117632	STMN1	6510.0	1	26210672	26233482
ENSG00000158006	PAFAH2	8579.0	1	26286258	26324648
ENSG00000158008	EXTL1	3515.0	1	26346375	26362955
ENSG00000158014	SLC30A2	11013.0	1	26363743	26372624
ENSG00000158022	TRIM63	16007.0	1	26377795	26394927
ENSG00000175087	PDIK1L	18981.0	1	26437664	26452034
ENSG00000197245	FAM110D	25860.0	1	26485511	26489119
ENSG00000142684	ZNF593	30943.0	1	26496362	26498551
ENSG00000142675	CNKSR1	19700.0	1	26503894	26516377
ENSG00000188782	CATSPER4	23220.0	1	26517052	26529459
ENSG00000130695	CEP85	25309.0	1	26560691	26605299
ENSG00000142669	SH3BGRL3	15568.0	1	26605667	26608007
ENSG00000158062	UBXN11	30600.0	1	26607819	26644854
ENSG00000169442	CD52	1804.0	1	26644448	26647014
ENSG00000176092	AIM1L	17295.0	1	26648350	26680621
ENSG00000176083	ZNF683	28495.0	1	26688125	26701013
ENSG00000131914	LIN28A	15986.0	1	26737269	26756213
ENSG00000117682	DHDDS	20603.0	1	26758773	26797785
ENSG00000198830	HMGN2	4986.0	1	26798941	26802463
ENSG00000117676	RPS6KA1	10430.0	1	26856252	26901521
ENSG00000117713	ARID1A	11110.0	1	27022524	27108595
ENSG00000060642	PIGV	26031.0	1	27113963	27124889
ENSG00000204160	ZDHHC18	20712.0	1	27153201	27184093
ENSG00000175793	SFN	10773.0	1	27189633	27190947
ENSG00000142751	GPN2	25513.0	1	27202624	27216788
ENSG00000198746	GPATCH3	25720.0	1	27216979	27226957
ENSG00000090273	NUDC	8045.0	1	27226729	27273353
ENSG00000131910	NR0B2	7961.0	1	27237980	27240457
ENSG00000175707	C1orf172	26624.0	1	27276053	27286897
ENSG00000253368	TRNP1	34348.0	1	27320198	27327389
ENSG00000158246	FAM46B	28273.0	1	27331511	27339327
ENSG00000090020	SLC9A1	11071.0	1	27425306	27493472
ENSG00000142784	WDTC1	29175.0	1	27561007	27635110
ENSG00000186501	TMEM222	25363.0	1	27648651	27662891
ENSG00000142765	SYTL1	15584.0	1	27668513	27680421
ENSG00000142733	MAP3K6	6858.0	1	27681675	27693383
ENSG00000142748	FCN3	3625.0	1	27695603	27701315
ENSG00000174950	CD164L2	32043.0	1	27705666	27709870
ENSG00000181773	GPR3	4484.0	1	27719148	27722318
ENSG00000158195	WASF2	12733.0	1	27730730	27816669
ENSG00000126705	AHDC1	25230.0	1	27860546	27930942
ENSG00000000938	FGR	3697.0	1	27938575	27961788
ENSG00000126709	IFI6	4054.0	1	27992572	27998729
ENSG00000009780	FAM76A	28530.0	1	28052490	28089633
ENSG00000117758	STX12	11430.0	1	28099694	28150963
ENSG00000117751	PPP1R8	9296.0	1	28157289	28178187
ENSG00000130775	THEMIS2	16839.0	1	28199055	28213196
ENSG00000117748	RPA2	10290.0	1	28218035	28241257
ENSG00000130768	SMPDL3B	21416.0	1	28261504	28285668
ENSG00000158156	XKR8	25508.0	1	28285973	28294607
ENSG00000158161	EYA3	3521.0	1	28296855	28415207
ENSG00000169403	PTAFR	9582.0	1	28473677	28520447
ENSG00000126698	DNAJC8	15470.0	1	28525967	28559536
ENSG00000130770	ATPIF1	871.0	1	28562620	28573417
ENSG00000130766	SESN2	20746.0	1	28586038	28609002
ENSG00000130772	MED18	25944.0	1	28655513	28662476
ENSG00000204138	PHACTR4	25793.0	1	28696114	28826881
ENSG00000180198	RCC1	1913.0	1	28832455	28865812
ENSG00000180098	TRNAU1AP	30813.0	1	28879597	28905051
ENSG00000197989	SNHG12	30062.0	1	28905050	28909495
ENSG00000120656	TAF12	11545.0	1	28915835	28969597
ENSG00000188060	RAB42	28702.0	1	28918712	28921955
ENSG00000270103	RNU11	10108.0	1	28975112	28975245
ENSG00000162419	GMEB1	4370.0	1	28995244	29045865
ENSG00000198492	YTHDF2	31675.0	1	29063133	29096287
ENSG00000116329	OPRD1	8153.0	1	29138654	29190208
ENSG00000159023	EPB41	3377.0	1	29213603	29446553
ENSG00000253304	TMEM200B	33785.0	1	29445940	29450447
ENSG00000116350	SRSF4	10786.0	1	29474255	29508499
ENSG00000116353	MECR	19691.0	1	29519385	29557454
ENSG00000060656	PTPRU	9683.0	1	29563028	29653325
ENSG00000162510	MATN1	6907.0	1	31184124	31196434
ENSG00000186056	MATN1-AS1	40364.0	1	31191351	31199674
ENSG00000162511	LAPTM5	29612.0	1	31205316	31230667
ENSG00000162512	SDC3	10660.0	1	31342314	31381608
ENSG00000134644	PUM1	14957.0	1	31404353	31538838
ENSG00000084628	NKAIN1	25743.0	1	31652592	31712401
ENSG00000060688	SNRNP40	30857.0	1	31732417	31769662
ENSG00000121766	ZCCHC17	30246.0	1	31769842	31837783
ENSG00000121769	FABP3	3557.0	1	31838472	31849697
ENSG00000168528	SERINC2	23231.0	1	31882412	31907525
ENSG00000142910	TINAGL1	19168.0	1	32042116	32053288
ENSG00000121764	HCRTR1	4848.0	1	32083287	32098119
ENSG00000162517	PEF1	30009.0	1	32095463	32110497
ENSG00000084636	COL16A1	2193.0	1	32117848	32169920
ENSG00000121753	BAI2	944.0	1	32192718	32230494
ENSG00000134668	SPOCD1	26338.0	1	32256023	32281652
ENSG00000184007	PTP4A2	9635.0	1	32372022	32410457
ENSG00000121774	KHDRBS1	18116.0	1	32479430	32526451
ENSG00000121775	TMEM39B	25510.0	1	32537632	32568467
ENSG00000025800	KPNA6	6399.0	1	32573639	32642169
ENSG00000084652	TXLNA	30685.0	1	32645287	32663886
ENSG00000160050	CCDC28B	28163.0	1	32665987	32670988
ENSG00000160051	IQCC	25545.0	1	32671236	32674288
ENSG00000222046	DCDC2B	32576.0	1	32674695	32681797
ENSG00000160055	TMEM234	28837.0	1	32680073	32687972
ENSG00000084623	EIF3I	3272.0	1	32687529	32697205
ENSG00000183615	FAM167B	28133.0	1	32712834	32714457
ENSG00000182866	LCK	6524.0	1	32716840	32751766
ENSG00000116478	HDAC1	4852.0	1	32757687	32799236
ENSG00000175130	MARCKSL1	7142.0	1	32799433	32801980
ENSG00000162526	TSSK3	15473.0	1	32817122	32829913
ENSG00000225828	FAM229A	44652.0	1	32826871	32829879
ENSG00000160058	BSDC1	25501.0	1	32830704	32860332
ENSG00000273274	ZBTB8B	37057.0	1	32930670	32962287
ENSG00000160062	ZBTB8A	24172.0	1	33005028	33071540
